rank,perf_tier,product_name,manufacturer,category,description,approx_price_usd,price_basis,hp_gain,torque_gain_pct,fuel_efficiency_gain_pct,estimated_roi_percent,payback_hours,fits_production,compatibility_notes
1,Top Tier,Donaldson PowerCore Air Filter,Donaldson,Engine / Intake,High-capacity air filtration - drops into T9 factory airbox,380.00,per tractor,3,1,2,250,100,Yes - same dimensions as factory T9 air filter,Direct replacement for 87722100/87722101
2,Top Tier,LED Light Conversion Kit,Grote Industries,Electrical / Lighting,Full LED conversion for T9 production light housings,1400.00,per tractor,0,0,0,200,200,Yes - direct replacement in T9 light housings,All T9/SmartTrax cab and chassis positions
3,Top Tier,Derale Auxiliary Trans Cooler,Derale Performance,Transmission / Cooling,Add-on powershift oil cooler for T9 trans lines,650.00,per tractor,0,0,0,200,200,Yes - inline on T9 production trans cooler hoses,Reduces trans temp 15-25 deg F in heavy draft
4,Top Tier,aFe Power Intake Kit,aFe Power,Engine / Intake,High-flow intake for T9 FPT Cursor 13 engine,450.00,per tractor,5,3,4,180,150,Yes - fits T9 production airbox mounting,All T9.435-T9.645 Cursor 13 engines
5,Top Tier,Steinbauer Power Module,Steinbauer Performance,Engine / ECU Tuning,Plug-in ECU module for T9 FPT Cursor 13,1800.00,per tractor,45,12,8,150,400,Yes - plug-in on T9 OBD port - fully reversible,Validated on T9.565/T9.600/T9.645
6,Top Tier,AG Diesel Solutions Module,AG Diesel Solutions,Engine / ECU Tuning,Inline fuel controller for T9 FPT Cursor 13,1400.00,per tractor,35,10,6,130,350,Yes - inline connector on T9 fuel rail harness,All T9 FPT Cursor 13 engines
7,Top Tier,Bully Dog GT Tuner,Bully Dog (Derive Systems),Engine / ECU Tuning,Handheld ECU programmer for T9 FPT Cursor 13,900.00,per tractor,40,10,5,120,300,Yes - programs through T9 OBD-II port,Multiple power levels for all T9 models
8,Top Tier,Outback eDriveX Steering,Hemisphere GNSS,Guidance / Steering,Aftermarket sub-inch auto-steer for T9 steering column,6500.00,per tractor,0,0,8,120,500,Yes - universal mount fits T9 steering column,Alternative to factory PLM steering
9,Top Tier,Titan Bolt-On Wheel Weights,Titan Machinery,Ballast / Traction,Precision-fit wheel weights for T9 rim bolt pattern,2800.00,per set,0,0,5,110,300,Yes - bolt-on to T9 production rim bolt circle,Matched to T9 axle load ratings
10,Strong,BorgWarner High-Flow Turbo,BorgWarner Aftermarket,Engine / Turbo,Larger compound turbo for T9 Cursor 13 manifold,4800.00,per tractor,55,15,3,90,600,Yes - direct bolt-on to T9 exhaust manifold,For T9.565/T9.600/T9.645 - requires tune
11,Strong,Raven Viper 4+ Rate Controller,Raven Industries,Precision Ag / Rate Control,Universal VRA controller via T9 ISOBUS,4200.00,per tractor,0,0,0,95,600,Yes - ISOBUS standard on all T9 models,5-12% input savings
12,Strong,Flo-Pro Performance Exhaust,Flo-Pro Exhaust,Engine / Exhaust,Reduced backpressure exhaust for T9 turbo downpipe,1400.00,per tractor,12,5,3,85,500,Yes - bolts to T9 production turbo outlet,Retains DPF/SCR emissions
13,Strong,C&R Racing Ag Radiator,C&R Racing Ag,Engine / Cooling,Aluminum 40% larger radiator for T9 mounting brackets,2600.00,per tractor,0,0,3,55,900,Yes - T9 production mount and hose connections,Prevents overheating in heavy tillage
14,Moderate,Michelin YieldBib IF Tires,Michelin Ag,Tires / Traction,IF tires with CFO+ for T9 production rims,10500.00,per set of 4,0,0,5,70,850,Yes - standard rim fitment on T9 wheels,40% more load capacity at same pressure
15,Moderate,LSW Wheel & Tire Package,Titan International,Tires / Traction,Low sidewall tires on larger rims for T9,9200.00,per set of 4,0,0,4,65,900,Yes - same hub bolt pattern as T9 production,Eliminates power hop and road lope
